Index,Country,Area,Location,Best String,Best Rank
162,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island","Hiva Oa Island, Marquesas, FRENCH POLYNESIA",0.225
163,VENEZUELA,Anzoategui,"Playa Colorada Beach, Mochima National Park, only 200 m west of Santa Cruz Beach","Playa Colorada Beach, Mochima National Park, Anzoategui, VENEZUELA",0.5666666666666667
164,REUNION ISLAND,Sainte-Suzanne,Temple Tamoule,"Sainte-Suzanne, REUNION ISLAND",0.25
165,ADMIRALTY ISLANDS,Manus Island,Sisi  (west coast of island),"Manus Island, ADMIRALTY ISLANDS",0.713793103448276
166,REUNION ISLAND,Saint-Denis,Barachoise bridge,"Saint-Denis, REUNION ISLAND",0.2857680000000001
167,FRENCH POLYNESIA,Tuamotos,Makemo Atoll,,0.0
168,REUNION ISLAND,d’Étang-Salé,Ravine Mula,,0.0
169,JAMAICA,Kingston Parish,Pedro Cays,"Pedro Cays, JAMAICA",0.567
170,COLOMBIA,San Andrés archipelago,Albuquerque Cay,"San Andrés archipelago, COLOMBIA",0.321489
171,NEW ZEALAND,Cook Islands,Pukapuka Northern Group,"Cook Islands, NEW ZEALAND",0.6260869565217392
172,DOMINICAN REPUBLIC,12 miles off the north coast,Boeing 757 enroute from Porta Plata,,0.0
173,ATLANTIC OCEAN,9.35N 79.35W,"East of La Grande Island, North of Panama Canal","East of La Grande Island, North of Panama Canal, ATLANTIC OCEAN",0.6561000000000001
174,CROATIA,Adriatic Sea,"Susak / Fiume (Rijeka, Istria)","Adriatic Sea, CROATIA",0.63
175,CANADA,Bay of Fundy,16 km west of Digby Gut,"Bay of Fundy, CANADA",0.75
176,FRENCH POLYNESIA,Tuamotus,Rangiroa,"Rangiroa, FRENCH POLYNESIA",0.6561000000000001
177,GUYANA,Demerara County,Off the Demerara River,"Off the Demerara River, Demerara County, GUYANA",0.6027906976744186
178,REUNION ISLAND,Bois-Blanc,Sainte-Rose,"Sainte-Rose, Bois-Blanc, REUNION ISLAND",0.25
179,OKINAWA,Miyako Island,Sunayama Beach,"Sunayama Beach, OKINAWA",0.6666666666666667
180,BAHAMAS,Florida Straits,Off Cay Sal  Banks,,0.0
181,PALAU,Western Caroline Islands (North Pacific Ocean),Outside barrier reef,"Western Caroline Islands (North Pacific Ocean), PALAU",0.603529411764706
182,MOZAMBIQUE,Limpopo River,190 km to 240 km from the sea,"Limpopo River, MOZAMBIQUE",0.6666666666666667
183,PAPUA NEW GUINEA,"New Ireland Province, Bismarck Archipelago","Maritzoan, east coast of Namatanai","New Ireland Province, Bismarck Archipelago, PAPUA NEW GUINEA",0.45
184,PANAMA,"2 to 3 miles off Taboguilla Island, Pacific Ocean",Pacific Anchorage off the Panama Canal,"Pacific Anchorage off the Panama Canal, PANAMA",0.567
185,FRENCH POLYNESIA,Central Tuamotu,"Tupapati, Hikueru Atoll",,0.0
186,MEXICO,Baja California,San Luis beach,"San Luis beach, MEXICO",0.567
187,REUNION ISLAND,Conservatória District,"P' tit Paris, Saint-Pierre","P' tit Paris, Saint-Pierre, REUNION ISLAND",0.5103000000000001
188,NEW CALEDONIA,South Province,Île de Casey,"Île de Casey, South Province, NEW CALEDONIA",0.32148899999999997
189,CROATIA,Primorje-Gorski Kotar County,Preluka Harbour,"Primorje-Gorski Kotar County, CROATIA",0.6561000000000001
190,FIJI,Vanua Levu,Off the Bua coast,"Vanua Levu, FIJI",0.6666666666666667
191,PAPUA NEW GUINEA,"Abau Sub District, Central Province",Lalaura Village,"Lalaura Village, PAPUA NEW GUINEA",0.6270967741935484
192,AUSTRALIA,Tasmania,Off Big Friar Island,,0.0
193,SOUTH ATLANTIC OCEAN,In Convoy OB 274,Off Sierra Leone,,0.0
194,TURKS AND CAICOS,Middle Caicos,Mudjin Harbor,"Mudjin Harbor, Middle Caicos, TURKS AND CAICOS",0.5
195,TAIWAN,Off Green Island,Onboard the fishing vessel Chin Sheng Fa 13,,0.0
196,PERSIAN GULF,25 km off the coast of Iran & 483km from mouth of Persian Gulf,Khark Island,"Khark Island, 25 km off the coast of Iran & 483km from mouth of Persian Gulf, PERSIAN GULF",0.25
197,NEW GUINEA,Madang Province,Manam Island,"Manam Island, NEW GUINEA",0.5
198,PANAMA,Canal Zone,300 yards west of mouth of the Chagres River,"Canal Zone, PANAMA",0.44099999999999995
199,NEW GUINEA,"Abau Sub District, Central Province",Kerpuna,"Kerpuna, NEW GUINEA",0.3969
200,CROATIA,Adriatic Sea,"Susak (Rijeka, Istria)","Adriatic Sea, CROATIA",0.63
